pen,time period,Species,Study,Diet,"average 
feed intake, g/d","average feed intake, g","ME, kcal/kg",Overall,NDF,ADF,NFC,Crude fiber,Starch,CP,Arginine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Valine,Alanine,Aspartic acid,Cystine,Met + Cys,Glutamic acid,Glycine,Proline,Serine,Tyrosine,Phe + Tyr,Ether extract,SFA,MUFA,PUFA,n-3 PUFA,n-6 PUFA,n-3/n-6 ratio,C14,C15:0,C15:1,C16:0,C16:1,C17:0,C17:1,C18:0,C18:1,"C18:2 cis n-6
LA","C18:3 cis n-3
ALA",C20:0,C20:1,"C20:4n-6
ARA","C20:5n-3
EPA",C22:0,C22:1,"C22:6n-3
DHA",C24:0,Ash,Vitamin A IU/kg,"beta-
carotene",Vitamin D3 IU/kg,25(OH)D3,Vitamin E IU/kg,Vitamin K ppm,"Astaxanthin
AST %",Thiamin ppm,Riboflavin ppm,Niacin ppm,"Pantothenic
acid ppm",Pyridoxine ppm,Biotin ppm,Folic acid ppm,Vitamin B12 ppm,Choline ppm,Calcium,"(Total)
Phosphorus","(Inorganic)
available P",Ca:P ratio,Na,Cl,K,Mg,S,Cu ppm,I ppm,Fe,Mn,Se,Zn,"average 
feed intake, g/d",bodyweightgain,akp,alt,gluclose,nefa,pip,tc,tg,trap,uric acid,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS,COHESIVENESS,GUMMINESS,RESILIENCE,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS
1,1-6 weeks,broiler chicken,broiler DHA,G Control,114.9984,3104.9568,18656.7921,,,,,,,1284.4278,70.431066,20.2958892,46.3221288,69.2435304,63.51318,25.2964728,41.354388,46.8014544,11.4607008,52.0524792,0,0,0,0,0,0,0,0,0,0,329.802089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.09676,0,0,0,0,0,0,0,0,0,0,27943542,0.323082565,2794354.2,0,46575.97053,4657.257,0,6522.073089,23287.37366,93158.28277,18634.36323,23289.41521,883.5959336,2328.976524,37.258056,9781045.951,57.303504,43.190084,23.150286,0,12.419352,12.419352,18.629028,9.380936961,1122.39949,55343.088,1752.00165,479103.616,330093.6257,846.4662,266096.5393,114.9984,39.45,250.6082473,1.666929755,3.10989183,552.6516309,74.64348262,63.1928322,24.59028815,,0.159484877,0.3864,0.65263,1.45255,1.97747,0.4587,2.628,0.63624339,1.923046767,2.719803771,0.436488136,0.280054848,0.811179221,5.865,0.373408449,4161.177,,,,2691.863,,6.597675,0.403831743,3909.342885,0.890243902,2384.006234
2,1-6 weeks,broiler chicken,broiler DHA,G Control,108.924,2940.948,17664.38037,,,,,,,1219.16421,66.8401065,19.2499173,43.9361577,65.6814501,60.245127,24.0626052,39.2306409,44.3817306,10.8726462,49.3724808,0,0,0,0,0,0,0,0,0,0,312.2498287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.81896,0,0,0,0,0,0,0,0,0,0,26468532,0.305608335,2646853.2,0,44117.43682,4411.422,0,6177.802767,22058.14234,88240.88662,17650.74705,22060.07563,837.8002583,2206.041423,35.291376,9264751.203,54.363231,41.0364859,22.012803,0,11.763792,11.763792,17.645688,8.786051231,1043.647645,52759.836,1634.378918,452759.6179,310134.4547,796.71438,253107.206,108.924,41.95,175.9143579,2.416055925,2.858007892,893.8748029,54.92878318,70.78177196,23.06518528,,0.148822085,1.10648,1.70729,5.93895,6.71992,1.21699,6.65521,0.44838645,2.447180762,3.024800611,0.610644488,0.097034129,0.912966839,6.1103,0.435325053,3669.466,0.764,1425.467,0.516,1864.775,0.217,6.7716,0.397308858,3205.350629,0.879573171,1861.827031
3,1-6 weeks,broiler chicken,broiler DHA,G Control,103.4575,2793.3525,16777.66298,,,,,,,1158.04755,63.4890825,18.2845215,41.732766,62.387658,57.223935,22.857741,37.263402,42.155748,10.327446,46.896489,0,0,0,0,0,0,0,0,0,0,296.5752508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.86705,0,0,0,0,0,0,0,0,0,0,25140172.5,0.290259566,2514017.25,0,41903.34276,4190.02875,0,5867.761272,20951.12431,83812.3969,16764.9203,20952.96057,795.7770307,2095.328236,33.52023,8799787.021,51.63723,38.98043662,20.9103525,0,11.17341,11.17341,16.760115,8.342406934,990.7417353,50121.18,1551.673463,430008.6614,294501.1775,756.59265,240433.3332,103.4575,40.78,65.03565281,,2.830513519,689.961603,75.42858127,76.0258146,18.64238695,,0.180810463,0.514,0.70199,2.17287,3.42679,0.59123,2.85943,0.614467344,2.550978108,2.733621377,0.403441327,0.123864008,0.968338834,6.638635,0.400217582,3182.616856,0.762910798,1081.978912,0.435629,1404.308491,0.181822624,6.235515,0.395961307,3277.671524,0.87347561,1697.09339
4,1-6 weeks,broiler chicken,broiler DHA,G Control,113.1755,3055.7385,18358.86533,,,,,,,1265.0796,69.365457,19.9845684,45.6120801,68.1838533,62.54091,24.9349806,40.7228985,46.0806138,11.2858866,51.2550234,0,0,0,0,0,0,0,0,0,0,324.5320911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.11477,0,0,0,0,0,0,0,0,0,0,27501646.5,0.317813684,2750164.65,0,45839.42265,4583.60775,0,6418.933757,22919.11063,91685.08902,18339.68393,22921.11971,869.9441016,2292.146688,36.668862,9626370.274,56.429433,42.55504607,22.8163095,0,12.222954,12.222954,18.334431,9.194693646,1097.236957,54596.376,1714.7403,471126.4347,323910.1246,831.15315,262290.1084,113.1755,40.58,84.53053569,,2.808340637,393.2458013,56.73160231,76.0258146,30.53818935,,0.323691886,0.28991,0.69164,1.95036,2.61276,0.82051,4.66448,0.798758861,3.844779334,4.005774083,0.388636382,0.114800683,1.066861901,6.062535,0.373091993,3637.523826,0.75528169,1523.288666,0.557125077,2042.344698,0.237205942,6.039,0.397138466,,0.853658537,
5,1-6 weeks,broiler chicken,broiler DHA,G Control,112.0793,3026.1411,18164.18843,,,,,,,1258.4455,68.97455775,19.84719429,45.30140622,67.72947678,62.12245914,24.9182325,40.45958003,45.74667132,11.21403528,50.90842386,0,0,0,0,0,0,0,0,0,0,321.0706342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5228274,0,0,0,0,0,0,0,0,0,0,27235272.33,0.313804138,2723527.233,0,45395.42396,4539.212055,0,6356.760819,22697.12432,90797.04451,18162.06233,22699.11283,863.3913624,2269.947224,36.31369644,9533134.529,56.0701764,42.42257651,22.78262133,0,12.10456548,12.10456548,18.15684822,8.88465182,1043.379569,54816.78888,1642.408516,464226.508,315154.4107,811.8645066,262091.5052,112.0793,44.14,419.4226695,3.423159319,3.336942141,367.3620824,70.0201239,,24.43777786,,0.106170913,0.66834,1.11429,5.02433,8.27137,2.5194,0.59558,0.819025889,3.882627492,3.086124917,0.576011077,0.107564494,0.798988578,6.734445,0.405170222,3919.041057,0.769953052,1422.284708,0.477746043,1847.81326,0.190301232,6.0288,0.346574961,3224.832992,0.903963415,1686.901128
6,1-6 weeks,broiler chicken,broiler DHA,G Control,99.57538,2688.53526,16136.12171,,,,,,,1118.58435,61.3062864,17.63832618,40.25991627,60.19297191,55.209708,22.15968462,35.95826115,40.65372126,9.96652782,45.24318018,0,0,0,0,0,0,0,0,0,0,285.2205581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.770689,0,0,0,0,0,0,0,0,0,0,24196810.05,0.278706311,2419681.005,0,40330.95073,4032.801675,0,5647.57827,20164.95396,80667.40801,16135.84025,20166.72052,767.2469049,2016.704132,32.2624134,8469584.96,49.8326391,37.71641805,20.25876015,0,10.7541378,10.7541378,16.1312067,7.872391993,922.8572435,48772.6272,1453.865963,412213.1155,279459.3201,720.219195,233074.8106,99.57538,40.81,120.3300304,2.083662194,3.185279629,725.3149751,65.48399837,77.39011837,25.04781901,,0.251184895,0.54241,0.854,2.28457,2.19302,0.49772,2.62031,0.737309847,2.92347033,2.574386008,0.656389923,0.173313358,1.714362212,6.42128,0.428154075,3364.154534,0.774647887,1409.510523,0.530207046,1812.827577,0.22951116,6.1491,0.407846328,4418.570543,0.879573171,2191.855046
1,1-6 weeks,broiler chicken,broiler DHA,g 1%,115.1853,3110.0031,18687.22703,,,,,,,1286.7658,70.55829675,20.33166609,46.40388642,69.36610338,63.62554914,25.3466037,41.42788103,46.88333892,11.48110848,52.14444066,0,0,0,0,0,0,0,0,0,0,287.7981688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.2000674,0,0,0,0,0,0,0,0,0,0,28692891.09,702861.0258,2799003.033,0,46653.57751,4665.005055,0,6535.84827,24252.90406,98195.67599,19947.50831,23330.41736,1056.234315,2428.014497,43.32856695,9797317.699,57.4055424,43.80304484,23.19550533,0,12.44001348,12.44001348,18.66002022,9.422606588,1125.767872,55462.87124,1752.921541,479817.0909,330442.1788,847.4788919,266623.2738,115.1853,40.56,52.06382049,2.530161236,2.952907827,555.4925269,66.50171884,61.27428002,21.99761327,,0.204268607,0.56895,0.94015,2.87977,3.1927,0.53734,4.7303,0.671810673,2.728925346,4.411466658,0.637959987,0.127919421,1.353289195,6.01699,0.346349068,5838.09742,0.785211268,2121.850147,0.472730802,2696.857751,0.180744684,6.59808,0.403333839,3152.758087,0.888211382,1851.977265
2,1-6 weeks,broiler chicken,broiler DHA,g 1%,111.7244,3016.5588,18132.02396,,,,,,,1246.011725,68.333706,19.69986096,44.96082228,67.20522372,61.64412336,24.501366,40.13432647,45.43284168,11.12220072,50.52192264,0,0,0,0,0,0,0,0,0,0,279.2748572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.3311976,0,0,0,0,0,0,0,0,0,0,27830781.45,681742.793,2714903.892,0,45251.82272,4524.83982,0,6339.471778,23524.19779,95245.91777,19285.54992,22629.42864,1024.498485,2355.061483,42.02671225,9502945.373,55.6110036,42.39053389,22.42884492,0,12.06623952,12.06623952,18.09935928,9.222251234,1108.079353,53517.48117,1720.996502,466270.3128,322605.1478,826.1986679,257740.4909,111.7244,36.86,80.50275339,2.614499944,2.876633113,615.1513423,65.62938701,57.52244463,,,0.246919778,0.52128,0.78922,2.00217,1.93354,0.42801,2.40257,0.761701206,2.938427525,3.355162994,0.586078643,0.133664956,1.402530828,6.02396,0.380709479,6928.661796,0.757042254,2434.396258,0.463256268,3226.026946,0.162652529,6.912675,0.372049485,6092.194132,0.900406504,3797.262325
3,1-6 weeks,broiler chicken,broiler DHA,g 1%,111.3455,3006.3285,18067.83233,,,,,,,1242.6831,68.146812,19.6420194,44.8292691,67.0101903,61.46496,24.4541646,40.0191435,45.2966958,11.0904606,50.3744994,0,0,0,0,0,0,0,0,0,0,278.2744671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.12657,0,0,0,0,0,0,0,0,0,0,27736386.74,679430.4986,2705695.65,0,45098.33889,4509.49275,0,6317.969825,23444.41029,94922.59423,19247.00402,22552.67578,1021.023699,2347.074004,41.88416866,9470714.339,55.452303,42.2881188,22.3826895,0,12.025314,12.025314,18.037971,9.155463005,1097.397364,53455.65196,1706.258925,464315.6156,320613.5662,821.6015207,257240.3636,111.3455,38.40,143.168929,2.822866163,2.820757451,401.137179,62.22729286,59.95261073,27.18296303,,,0.52921,0.87586,3.47134,6.10983,1.38576,1.96351,0.620267663,2.392204917,3.359450687,0.54011366,0.116945241,1.393962665,5.9836,0.353975689,4814.684666,,1601.15522,0.553801296,2456.6306,,5.90278,0.355969835,4825.879857,0.880081301,2596.409926
4,1-6 weeks,broiler chicken,broiler DHA,g 1%,104.2897,2815.8219,16903.33518,,,,,,,1170.456888,64.15448738,18.46254047,42.14065392,63.00294588,57.78737289,23.16537495,37.63533953,42.55672392,10.43114598,47.35622691,0,0,0,0,0,0,0,0,0,0,260.25433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3164299,0,0,0,0,0,0,0,0,0,0,25978769.11,636375.8871,2534239.346,0,42240.50663,4223.732243,0,5917.607627,21958.77242,88905.48333,18222.53992,21123.54464,956.3231159,2198.34505,39.23002507,8870571.25,52.1557299,39.9088973,21.18169346,0,11.26328598,11.26328598,16.89492897,8.317303981,977.5526807,50937.83463,1533.469507,432180.8438,293776.7149,756.4968708,243657.1324,104.2897,41.66,255.3285659,,3.334281395,297.2866484,62.92515832,57.52244463,22.30263384,,0.210666283,1.36253,1.62133,3.86688,4.31248,0.90674,6.03628,0.683501123,2.526660414,2.234187282,0.474012699,0.097556629,1.002886375,6.78019,0.493173048,3891.408913,0.751760563,1050.733584,0.353937893,1396.92736,0.146176327,6.651705,0.362788386,7312.616617,0.87804878,3608.550076
