feed intake," g/d""",bodyweightgain,akp,alt,gluclose,nefa,pip,tc,tg,trap,uric acid,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS,COHESIVENESS,GUMMINESS,RESILIENCE,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1-3 weeks,B,broiler DHA,S Control,52.46,1416.42,4157.1927,,,,,,,325.7766,17.70525,4.95747,11.33136,16.99704,15.58062,7.0821,10.198224,11.33136,2.83284,12.74778,0,0,0,0,0,0,0,0,0,0,73.370556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1642,0,0,0,0,0,0,0,0,0,0,6373890,0.068258696,637389,0,10623.87111,1062.315,0,1487.673172,5311.83821,21249.26669,4250.547327,5312.297415,212.4821911,531.2468322,8.49852,2231062.363,14.1642,11.48432047,6.37389,0,2.83284,2.83284,4.24926,0.849852,3.67702632,16997.04,74.36205,95643.136,42498.26568,127.4778,74366.29926,52.46,39.45,244.91,1.666929755,2.840386695,,89.45981555,68.661155,30.41043,,0.134408476,0.439950383,0.990895741,2.645037359,3.201168495,1.08345335,6.072495062,0.807,3.314,3.078,0.18,1.014,0.494,,,,,,,,,,,,,
2,1-3 weeks,B,broiler DHA,S Control,52.821,1426.167,4185.800145,,,,,,,328.01841,17.8270875,4.9915845,11.409336,17.114004,15.687837,7.130835,10.2684024,11.409336,2.852334,12.835503,0,0,0,0,0,0,0,0,0,0,73.8754506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26167,0,0,0,0,0,0,0,0,0,0,6417751.5,0.068728414,641775.15,0,10696.97857,1069.62525,0,1497.910496,5348.391272,21395.49211,4279.797186,5348.853637,213.9443731,534.9025719,8.557002,2246415.27,14.26167,11.56334906,6.4177515,0,2.852334,2.852334,4.278501,0.8557002,3.702329532,17114.004,74.8737675,96301.29788,42790.71467,128.35503,74878.046,52.821,41.95,143.12,2.416055925,2.885096864,431.18115,88.4057971,64.6573575,18.5119,,0.226050618,0.503317037,0.987464486,3.853788383,3.440097506,1.064109804,6.156502776,0.629,2.703,2.361,0.147,1.011,0.454,,,,,,,,,,,,,
3,1-3 weeks,B,broiler DHA,S Control,50.255,1356.885,3982.457475,,,,,,,312.08355,16.9610625,4.7490975,10.85508,16.28262,14.925735,6.784425,9.769572,10.85508,2.71377,12.211965,0,0,0,0,0,0,0,0,0,0,70.286643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.56885,0,0,0,0,0,0,0,0,0,0,6105982.5,0.065389645,610598.25,0,10177.3283,1017.66375,0,1425.143257,5088.570897,20356.117,4071.888219,5089.010801,203.5511344,508.9174524,8.14131,2137286.295,13.56885,11.00161123,6.1059825,0,2.71377,2.71377,4.070655,0.814131,3.52247346,16282.62,71.2364625,91623.06137,40711.97754,122.11965,71240.53316,50.255,40.78,,,3.622490662,254.44225,51.38339921,62.255079,41.063765,,,0.408964347,0.657386507,2.497491218,3.768589263,0.781265015,4.066476079,0.574,2.703,2.424,0.084,0.578,0.432,,,,,,,,,,,,,
4,1-3 weeks,B,broiler DHA,S Control,52.82,1426.14,4185.7209,,,,,,,328.0122,17.82675,4.99149,11.40912,17.11368,15.68754,7.1307,10.268208,11.40912,2.85228,12.83526,0,0,0,0,0,0,0,0,0,0,73.874052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2614,0,0,0,0,0,0,0,0,0,0,6417630,0.068727113,641763,0,10696.77606,1069.605,0,1497.882138,5348.290017,21395.08705,4279.716162,5348.752373,213.9403228,534.8924452,8.55684,2246372.741,14.2614,11.56313014,6.41763,0,2.85228,2.85228,4.27842,0.855684,3.70225944,17113.68,74.87235,96299.47471,42789.90456,128.3526,74876.62842,52.82,40.58,449.67,,2.231291643,463.8469,96.83794466,47.7000975,34.28437,,0.06924073,0.587673714,0.995485901,3.733852709,4.253584306,1.992625516,5.773458679,0.53,1.587,2.642,0.077,0.818,0.348,,,,,,,,,,,,,
5,1-3 weeks,B,broiler DHA,S Control,59.24562,1599.63174,4694.919157,,,,,,,367.9153002,19.99539675,5.59871109,12.79705392,19.19558088,17.59594914,7.9981587,11.51734853,12.79705392,3.19926348,14.39668566,0,0,0,0,0,0,0,0,0,0,82.86092413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9963174,0,0,0,0,0,0,0,0,0,0,7198342.83,0.077087853,719834.283,0,11998.05243,1199.723805,0,1680.1014,5998.916281,23997.82653,4800.349061,5999.434884,239.9664344,599.9627897,9.59779044,2519646.834,15.9963174,12.96979959,7.19834283,0,3.19926348,3.19926348,4.79889522,0.959779044,4.152643997,19195.58088,83.98066635,108014.428,47995.35073,143.9668566,83985.46525,59.24562,44.14,327.88,3.423159319,2.326543741,,31.2911726,50.8089285,27.228265,,0.06924073,0.429688119,1.233309823,3.236097526,2.922005989,0.649364402,4.051796101,0.642,2.157,3.791,0.096,1.13,0.281,,,,,,,,,,,,,
6,1-3 weeks,B,broiler DHA,S Control,53.297,1439.019,4223.520765,,,,,,,330.97437,17.9877375,5.0365665,11.512152,17.268228,15.829209,7.195095,10.3609368,11.512152,2.878038,12.951171,0,0,0,0,0,0,0,0,0,0,74.5411842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39019,0,0,0,0,0,0,0,0,0,0,6475585.5,0.069347765,647558.55,0,10793.37511,1079.26425,0,1511.409018,5396.58866,21588.29903,4318.364867,5397.055191,215.8723473,539.7228825,8.634114,2266658.992,14.39019,11.66755296,6.4755855,0,2.878038,2.878038,4.317057,0.8634114,3.735693324,17268.228,75.5484975,97169.12351,43176.32608,129.51171,75552.81456,53.297,40.81,323.28,2.083662194,2.819003571,414.67635,111.5942029,49.254513,51.44039,,,0.451654723,0.843301579,3.14849597,2.328050933,0.930263083,4.682293929,0.418,1.473,2.134,0.085,0.476,0.201,,,,,,,,,,,,,
1,1-3 weeks,B,broiler DHA,S 1%,52.79562,1425.48174,4183.788907,,,,,,,327.8608002,17.81852175,4.98918609,11.40385392,17.10578088,15.68029914,7.1274087,10.26346853,11.40385392,2.85096348,12.82933566,0,0,0,0,0,0,0,0,0,0,64.00413013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2548174,0,0,0,0,0,0,0,0,0,0,6575747.267,161079.4366,641466.783,0,10691.8657,1069.111305,0,1497.860647,5558.219862,22494.10186,5558.219862,5346.800727,242.0661005,556.4547868,9.929905801,2245335.774,14.2548174,11.55779298,6.41466783,0,2.85096348,2.85096348,4.27644522,0.855289044,3.709501482,17106.67124,74.83779135,96255.09086,42770.67885,128.3001419,74842.27378,52.79562,40.56,186.03,2.530161236,2.08290572,,58.2345191,50.761825,18.096835,,0.152736904,0.432713945,0.9257004,3.208117859,3.730435798,0.941812623,5.560573812,0.280789466,1.039130029,1.439669748,0.143551036,0.663616498,0.129436121,,,,,,,,,,,,,
2,1-3 weeks,B,broiler DHA,S 1%,48.62688,1312.92576,3853.437106,,,,,,,301.9729248,16.411572,4.59524016,10.50340608,15.75510912,14.44218336,6.5646288,9.453065472,10.50340608,2.62585152,11.81633184,0,0,0,0,0,0,0,0,0,0,58.95036662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1292576,0,0,0,0,0,0,0,0,0,0,6056526.531,148360.6109,590816.592,0,9847.636425,984.69432,0,1379.589631,5119.343049,20717.96849,5119.343049,4924.61756,222.9525711,512.5171395,9.145840844,2068044.153,13.1292576,10.64519011,5.90816592,0,2.62585152,2.62585152,3.93877728,0.787755456,3.416599396,15755.92917,68.9286024,88654.79281,39393.50779,118.1695679,68932.7309,48.62688,36.86,157.48,2.614499944,2.535839169,183.2653,92.09486166,39.739606,43.000735,,,0.304408133,0.664874524,1.953144366,2.512589884,1.267808518,4.185774957,0.599843982,2.81133974,2.639233452,0.141957309,1.533387419,0.411478892,,,,,,,,,,,,,
3,1-3 weeks,B,broiler DHA,S 1%,49.57,1338.39,3928.17465,,,,,,,307.8297,16.729875,4.684365,10.70712,16.06068,14.72229,6.69195,9.636408,10.70712,2.67678,12.04551,0,0,0,0,0,0,0,0,0,0,60.093711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3839,0,0,0,0,0,0,0,0,0,0,6173993.07,151238.07,602275.5,0,10038.63167,1003.7925,0,1406.346819,5218.632882,21119.7942,5218.632882,5020.130686,227.2767438,522.457427,9.32322474,2108153.94,13.3839,10.85165394,6.022755,0,2.67678,2.67678,4.01517,0.803034,3.482864458,16061.51596,70.265475,90374.25555,40157.54622,120.4614707,70269.68357,49.57,38.4,,2.822866163,2.349222812,804.9461,83.33333333,46.1927855,23.631035,,0.173101825,0.601408929,0.992205004,4.138156127,9.299113593,1.997938262,3.657164109,0.459,1.576,3.12,0.064,0.688,0.351,,,,,,,,,,,,,
4,1-3 weeks,B,broiler DHA,S 1%,54.47937,1470.94299,4317.217676,,,,,,,338.3168877,18.38678738,5.148300465,11.76754392,17.65131588,16.18037289,7.35471495,10.59078953,11.76754392,2.94188598,13.23848691,0,0,0,0,0,0,0,0,0,0,66.04534025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7094299,0,0,0,0,0,0,0,0,0,0,6785460.013,166216.5579,661924.3455,0,11032.84908,1103.207243,0,1545.630194,5735.481777,23211.48038,5735.481777,5517.320094,249.7860363,574.2011594,10.24658887,2316943.686,14.7094299,11.92639238,6.619243455,0,2.94188598,2.94188598,4.41282897,0.882565794,3.827804347,17652.23463,77.22450698,99324.84379,44134.71493,132.3918708,77229.13236,54.47937,41.66,485.28,,2.545558771,268.19625,81.62055336,40.3519515,30.272075,,0.150700412,0.523758068,0.984240605,3.552698676,3.864045488,0.829352024,6.509990902,0.463,1.62,2.97,0.082,0.651,0.264,,,,,,,,,,,,,
