body part,"concentration (0, 0.25, 0.5, 1)","week (0, 1 -> week 3, week 6)",BCA/WEIGHT,MDA/WEIGHT,NEFA/WEIGHT,TC/WEIGHT,TG/WEIGHT
10,0,1,14.28,1.41,2.39,,15.15
10,0,1,14.24,1.04,1.53,1.01,16.18
10,0,1,10.05,0.75,1.00,0.97,16.87
10,0,1,9.74,1.00,1.22,0.40,15.76
10,0,1,9.80,0.16,2.45,0.72,21.60
10,0,1,11.23,1.11,1.83,0.92,21.80
10,0.25,1,11.54,0.79,1.09,0.62,12.90
10,0.25,1,13.58,1.51,1.77,1.13,12.22
10,0.25,1,7.99,0.34,1.14,0.72,16.56
10,0.25,1,12.30,0.41,3.91,,25.08
10,0.25,1,7.33,0.55,2.22,1.08,21.53
10,0.25,1,,0.37,,,27.82
10,0.5,1,11.64,1.63,2.12,0.63,17.57
10,0.5,1,13.80,1.49,1.85,,25.09
10,0.5,1,11.12,0.61,2.27,,14.54
10,0.5,1,12.70,1.01,2.49,1.16,22.16
10,0.5,1,10.45,,2.01,0.69,20.91
10,0.5,1,14.28,1.23,2.55,1.00,20.42
10,1,1,7.93,0.83,1.45,0.91,14.12
10,1,1,9.64,2.42,0.96,0.65,14.04
10,1,1,7.51,1.17,1.11,0.36,13.76
10,1,1,15.81,,2.59,,27.42
10,1,1,7.60,0.59,1.12,0.34,13.38
10,1,1,12.49,,1.82,0.62,25.62
2.5,0,1,80.70,0.045,0.360,0.134,6.27
2.5,0,1,123.88,0.407,0.318,0.114,4.28
2.5,0,1,111.44,0.096,0.563,0.105,7.21
2.5,0,1,112.64,0.313,0.635,0.258,9.69
2.5,0,1,132.37,0.083,0.715,0.276,8.68
2.5,0,1,132.28,0.282,0.740,0.322,7.15
2.5,0.25,1,81.02,0.088,0.245,0.083,
2.5,0.25,1,129.07,0.294,0.762,0.272,
2.5,0.25,1,95.73,0.025,,0.145,9.54
2.5,0.25,1,132.59,0.084,,0.177,6.83
2.5,0.25,1,116.18,0.251,0.688,0.301,9.22
2.5,0.25,1,152.52,0.101,0.769,0.333,9.59
2.5,0.5,1,116.68,0.289,0.570,0.136,8.10
2.5,0.5,1,98.73,0.468,0.405,0.205,5.20
2.5,0.5,1,139.42,0.011,0.751,0.214,7.32
2.5,0.5,1,107.78,0.381,,0.390,
2.5,0.5,1,123.69,0.251,0.413,0.305,6.45
2.5,0.5,1,120.85,0.311,0.352,0.266,4.58
2.5,1,1,91.42,0.121,0.317,0.078,4.54
2.5,1,1,94.33,0.310,0.404,0.345,
