pen,time period,"Species",Study,Diet,average feed intake g per d,"average feed intake, g","ME, kcal per kg",Overall,"NDF,g","ADF,g","NFC,g","Crude fiber,g","Starch,g","CP,g","Arginine,g","Histidine,g","Isoleucine,g","Leucine,g","Lysine,g","Methionine,g","Phenylalanine,g","Threonine,g","Tryptophan,g","Valine,g","Alanine,g","Aspartic acid,g","Cystine,g","Met + Cys,g","Glutamic acid,g","Glycine,g","Proline,g","Serine,g","Tyrosine,g","Phe + Tyr,g","Ether extract,g","SFA,g","MUFA,g","PUFA,g","n-3 PUFA,g","n-6 PUFA,g","n-3:n-6 ratio,g","C14,g","C15:0,g","C15:1,g","C16:0,g","C16:1,g","C17:0,g","C17:1,g","C18:0,g","C18:1,g","C18:2 cis n-6 LA,g","C18:3 cis n-3 ALA,g","C20:0,g","C20:1,g","C20:4n-6 ARA,g","C20:5n-3 EPA,g","C22:0,g","C22:1,g","C22:5,g","C22:6n-3 DHA,g","C24:0,g","Ash,mg",Vitamin A IU per kg,"beta-carotene,mg",Vitamin D3 IU per kg,"Vitamin D3 25-Hydroxyvitamin D, IU",Vitamin E IU per kg,Vitamin K ppm,AST ppm,Thiamin ppm,Riboflavin ppm,Niacin ppm,Pantothenic acid ppm,Pyridoxine ppm,Biotin ppm,Folic acid ppm,Vitamin B12 ppm,Choline ppm,"Calcium,g","Total Phosphorus,g","Inorganic available P,g",Ca:P ratio,"Na,mg","Cl,mg","K,mg","Mg,mg","S,mg",Cu ppm,I ppm,"Fe,mg","Mn,mg","Se,mg","Zn,mg","average feed intake g per d","bodyweightgain,g",akp U per ml,alt (U per L),glucose (g per L),"nefa,umol per L",pip mg per dL,tc mg per g,tg mg per g,trap U per L,uric acid mmol per L,BCA,breast mTOR,breast S6K1,breast 4E-BP1,breast MURF1,breast MAFbx,breast AMPK,breast LAT1,breast CAT1,breast SNAT2,breast VDAC1,breast ANTKMT,breast AKT1,IGF1,IGFR,IRS1,FOXO1,LC3-1,MyoD,MyoG,Pax3,Pax7,Mrf4,Mrf5,liver mTOR,liver S6K1,liver 4E-BP1,liver MURF1,liver MAFbx,liver AMPK,breast weight (g),breast PH,breast WHC,breast HARDNESS,breast SPRINGINESS,breast CHEWINESS,breast COHESIVENESS,breast GUMMINESS,breast RESILIENCE,Thigh Weight (g),thigh PH,thigh WHC,thigh HARDNESS,thigh SPRINGINESS,thigh CHEWINESS,liver weight(g),Plasma SFA,Plasma MUFA,Plasma PUFA,Plasma n-3,Plasma n-6,Plasma C16:0 ,Plasma C16:1 ,Plasma C18:0 ,Plasma C18:1 ,Plasma C18:2 ,Plasma C18:3 ,Plasma C20:5,Plasma C22:6,Liver SFA,Liver MUFA,Liver PUFA,Liver n-3,Liver n-6,Liver C16:00 ,Liver C16:1 ,Liver C18:0 ,Liver C18:1,Liver C18:2,Liver C18:3 ,Liver C20:5,Liver C22:6,Breast SFA,Breast MUFA,Breast PUFA,Breast n-3,Breast n-6,Breast C16:0,Breast C16:01,Breast C18:0,Breast C18:01,Breast C18:2,Breast C18:3 ,Breast C20:4,Breast C20:5,Breast C22:6,Thigh SFA,Thigh MUFA,Thigh PUFA,Thigh n-3,Thigh n-6,Thigh C16:0,Thigh C16:01,Thigh C18:0,Thigh C18:1,Thigh C18:2,Thigh C18:3,Thigh C20:4,Thigh C22:6
1,1-3 weeks,B,broiler chicken DHA,S Control,52.46,1416.42,4157.1927,,119.4798145,43.65437601,707.4161108,33.88359074,450.3098271,325.7766,17.70525,4.95747,11.33136,16.99704,15.58062,7.0821,10.198224,11.33136,2.83284,12.74778,16.59332489,34.15892579,6.402794883,11.6297912,57.5606431,14.16036009,19.41461682,16.46804679,11.59587077,28.78021815,73.370556,5.63127967,9.127692251,17.1452691,0.3193382629,13.71025609,304.6723575,0,0,0,4.0084686,0,0,0,0.4815828,4.8724848,11.1613896,0.637389,0.2032390309,0.06650363357,0,0,0.0866251883,0,0,0,0.05535196557,4670.167333,6373.89,0.000068258696,637.389,0,10.62387111,1.062315,0,1.487673172,5.31183821,21.24926669,4.250547327,5.312297415,0.2124821911,0.5312468322,0.00849852,2231.062363,14.1642,11.48432047,6.37389,0,2.83284,2.83284,4.24926,0.849852,3.67702632,16.99704,0.07436205,95.643136,42.49826568,0.1274778,74.36629926,52.46,39.45,244.91,1.666929755,2.840386695,391.0366625,89.45981555,68.661155,30.41043,,134.408476,,0.439950383,0.990895741,2.645037359,3.201168495,1.08345335,6.072495062,,,,,,,,,,,,,,,,,,0.807,3.314,3.078,0.18,1.014,0.494,,,,,,,,,,,,,,,,,1.117160821,,0.9721385479,,0.9721385479,0.6416795489,,0.4754812716,,0.9721385479,,,,12.68673201,1.112734504,4.443983658,0.3683996852,4.443983658,7.035903428,1.112734504,5.650828586,,4.443983658,,,0.3683996852,2.640825381,3.505930425,2.763903948,0.08344164899,2.680462299,2.017698721,0.4647231966,0.6231266608,3.041207229,2.381139162,0.2993231376,0.2993231376,,,3.008072256,2.546334766,3.465216426,0.08553112462,3.465216426,1.96,0.2403374179,0.9875408908,2.305997348,2.751597616,0.08553112462,0.3760474303,
2,1-3 weeks,B,broiler chicken DHA,S Control,52.821,1426.167,4185.800145,,120.3020069,43.9547807,712.2841477,34.11675842,453.4086042,328.01841,17.8270875,4.9915845,11.409336,17.114004,15.687837,7.130835,10.2684024,11.409336,2.852334,12.835503,16.70751075,34.39398817,6.44685529,11.70982083,57.95674283,14.25780366,19.54821721,16.58137056,11.67566698,28.97826731,73.8754506,5.670030946,9.190503858,17.26325313,0.3215357679,13.8046023,306.76894,0,0,0,4.03605261,0,0,0,0.48489678,4.90601448,11.23819596,0.64177515,0.2046376068,0.0669612739,0,0,0.08722129377,0,0,0,0.05573286644,4702.304779,6417.7515,0.000068728414,641.77515,0,10.69697857,1.06962525,0,1.497910496,5.348391272,21.39549211,4.279797186,5.348853637,0.2139443731,0.5349025719,0.008557002,2246.41527,14.26167,11.56334906,6.4177515,0,2.852334,2.852334,4.278501,0.8557002,3.702329532,17.114004,0.0748737675,96.30129788,42.79071467,0.12835503,74.878046,52.821,41.95,143.12,2.416055925,2.885096864,431.18115,88.4057971,64.6573575,18.5119,,226.050618,,0.503317037,0.987464486,3.853788383,3.440097506,1.064109804,6.156502776,,,,,,,,,,,,,,,,,,0.629,2.703,2.361,0.147,1.011,0.454,,,,,,,,,,,,,,,,,1.172449427,,0.8060790741,,0.8060790741,0.5477768956,,0.6246725309,,0.8060790741,,,,12.97645103,1.410142289,3.130470109,0.3683996852,3.130470109,7.687537818,1.410142289,5.288913215,,3.130470109,,,0.3683996852,2.294407061,2.376055293,2.746394952,0.07656878729,2.669826165,1.675330733,0.2179583418,0.6190763282,2.158096951,2.324275428,0.3455507369,0.3455507369,,,2.858361394,3.307687571,2.989081767,0.08063798503,2.908443782,2.064817707,0.5071227444,0.7935436874,2.800564827,2.496706967,0.08063798503,0.411736815,
3,1-3 weeks,B,broiler chicken DHA,S Control,50.255,1356.885,3982.457475,,114.457836,41.81949421,677.6819795,32.45939483,431.3823935,312.08355,16.9610625,4.7490975,10.85508,16.28262,14.925735,6.784425,9.769572,10.85508,2.71377,12.211965,15.89587385,32.72315699,6.133672452,11.14096753,55.14125274,13.56517148,18.59858117,15.77586145,11.10847285,27.57052732,70.286643,5.394585585,8.744036867,16.42461873,0.3059158292,13.13398627,291.8663615,0,0,0,3.83998455,0,0,0,0.4613409,4.6676844,10.6922538,0.61059825,0.194696483,0.06370835122,0,0,0.08298415627,0,0,0,0.0530254104,4473.870746,6105.9825,0.000065389645,610.59825,0,10.1773283,1.01766375,0,1.425143257,5.088570897,20.356117,4.071888219,5.089010801,0.2035511344,0.5089174524,0.00814131,2137.286295,13.56885,11.00161123,6.1059825,0,2.71377,2.71377,4.070655,0.814131,3.52247346,16.28262,0.0712364625,91.62306137,40.71197754,0.12211965,71.24053316,50.255,40.78,297.772,2.397451798,3.622490662,254.44225,51.38339921,62.255079,41.063765,,124.7351385,,0.408964347,0.657386507,2.497491218,3.768589263,0.781265015,4.066476079,,,,,,,,,,,,,,,,,,0.574,2.703,2.424,0.084,0.578,0.432,,,,,,,,,,,,,,,,,1.363780229,,0.8096459847,,0.8096459847,0.7339124929,,0.6298677364,,0.8096459847,,,,9.006613574,0.3848031391,3.742655847,0.3920916032,3.350564244,4.171524348,0.3848031391,4.835089226,,3.350564244,,,0.3920916032,2.624238885,3.668497047,2.221826496,0.08919500929,2.221826496,2.063844112,0.5374944327,0.5603947729,3.131002614,1.988140032,0.2336864639,0.2336864639,,,2.593809539,3.430436165,2.892343328,0.09011670405,2.802226624,1.884794996,0.5385216657,0.7090145428,2.891914499,2.413767939,0.09011670405,0.3884586849,
4,1-3 weeks,B,broiler chicken DHA,S Control,52.82,1426.14,4185.7209,,120.2997294,43.95394855,712.2706628,34.11611252,453.4000204,328.0122,17.82675,4.99149,11.40912,17.11368,15.68754,7.1307,10.268208,11.40912,2.85228,12.83526,16.70719445,34.39333703,6.446733239,11.70959914,57.9556456,14.25753373,19.54784713,16.58105664,11.67544594,28.97771869,73.874052,5.669923602,9.190329864,17.26292631,0.3215296806,13.80434096,306.7631323,0,0,0,4.0359762,0,0,0,0.4848876,4.9059216,11.2379832,0.641763,0.2046337326,0.0669600062,0,0,0.08721964251,0,0,0,0.05573181131,4702.215756,6417.63,0.000068727113,641.763,0,10.69677606,1.069605,0,1.497882138,5.348290017,21.39508705,4.279716162,5.348752373,0.2139403228,0.5348924452,0.00855684,2246.372741,14.2614,11.56313014,6.41763,0,2.85228,2.85228,4.27842,0.855684,3.70225944,17.11368,0.07487235,96.29947471,42.78990456,0.1283526,74.87662842,52.82,40.58,449.67,2.397451798,2.231291643,463.8469,96.83794466,47.7000975,34.28437,0.18016,69.24073,,0.587673714,0.995485901,3.733852709,4.253584306,1.992625516,5.773458679,,,,,,,,,,,,,,,,,,0.53,1.587,2.642,0.077,0.818,0.348,,,,,,,,,,,,,,,,,1.866659961,0.1410003274,0.9099022436,,0.9099022436,0.9485469226,,0.9181130387,,0.9099022436,,,,9.416269913,0.5015636463,5.851416029,0.3141229021,5.537293127,4.744654848,0.5015636463,4.671615064,,5.537293127,,,0.3141229021,2.903653205,4.006245729,3.168034221,0.1075745916,3.06045963,2.31831154,0.6622854764,0.5853416651,3.343960253,2.795089935,0.2653696945,0.2653696945,,,2.4686344,2.528712375,3.092411785,0.09932531593,2.993086469,1.797247774,0.2922811918,0.6713866259,2.236431183,2.621477336,0.09932531593,0.371609133,
5,1-3 weeks,B,broiler chicken DHA,S Control,59.24562,1599.63174,4694.919157,,134.934344,49.30100215,798.9192924,38.26638089,508.556708,367.9153002,19.99539675,5.59871109,12.79705392,19.19558088,17.59594914,7.9981587,11.51734853,12.79705392,3.19926348,14.39668566,18.73964584,38.5773301,7.230986515,13.13408673,65.00602341,15.9919808,21.92586753,18.59816321,13.09577875,32.50289493,82.86092413,6.359677,10.30834515,19.36298319,0.3606441741,15.48365654,344.0812565,0,0,0,4.526957824,0,0,0,0.5438747916,5.502733186,12.60509811,0.719834283,0.2295276857,0.07510577589,0,0,0.09783002265,0,0,0,0.06251165685,5274.246267,7198.34283,0.000077087853,719.834283,0,11.99805243,1.199723805,0,1.6801014,5.998916281,23.99782653,4.800349061,5.999434884,0.2399664344,0.5999627897,0.00959779044,2519.646834,15.9963174,12.96979959,7.19834283,0,3.19926348,3.19926348,4.79889522,0.959779044,4.152643997,19.19558088,0.08398066635,108.014428,47.99535073,0.1439668566,83.98546525,59.24562,44.14,327.88,3.423159319,2.326543741,391.0366625,31.2911726,50.8089285,27.228265,,69.24073,,0.429688119,1.233309823,3.236097526,2.922005989,0.649364402,4.051796101,,,,,,,,,,,,,,,,,,0.642,2.157,3.791,0.096,1.13,0.281,,,,,,,,,,,,,,,,,1.147199895,,0.7661608435,,0.7661608435,0.5759484048,,0.5712514907,,0.7661608435,,,,9.821207331,0.3650733627,6.493084974,0.3989845502,6.094100424,4.752032221,0.3650733627,5.069175109,,6.094100424,,,0.3989845502,1.841701982,1.652661991,1.968413461,0.08919500929,1.968413461,1.321373057,0.1698778938,0.5203289255,1.482784098,1.643678689,0.3247347715,0.3247347715,,,2.779339251,3.711982018,2.488615088,0.07204449345,2.416570594,2.048819924,0.5573767521,0.7305193269,3.154605266,2.084185506,0.07204449345,0.3323850884,
6,1-3 weeks,B,broiler chicken DHA,S Control,53.297,1439.019,4223.520765,,121.3861165,44.35088216,718.7029442,34.42420388,457.4945264,330.97437,17.9877375,5.0365665,11.512152,17.268228,15.829209,7.195095,10.3609368,11.512152,2.878038,12.951171,16.85807161,34.70393191,6.504951561,11.81534467,58.47902393,14.38628882,19.72437729,16.7307947,11.78088304,29.23940691,74.5411842,5.721126812,9.273324702,17.4188221,0.3244333091,13.92900341,309.533409,0,0,0,4.07242377,0,0,0,0.48926646,4.95022536,11.33946972,0.64755855,0.2064817123,0.06756469993,0,0,0.08800729433,0,0,0,0.05623510692,4744.679915,6475.5855,0.000069347765,647.55855,0,10.79337511,1.07926425,0,1.511409018,5.39658866,21.58829903,4.318364867,5.397055191,0.2158723473,0.5397228825,0.008634114,2266.658992,14.39019,11.66755296,6.4755855,0,2.878038,2.878038,4.317057,0.8634114,3.735693324,17.268228,0.0755484975,97.16912351,43.17632608,0.12951171,75.55281456,53.297,40.81,323.28,2.083662194,2.819003571,414.67635,111.5942029,49.254513,51.44039,,124.7351385,,0.451654723,0.843301579,3.14849597,2.328050933,0.930263083,4.682293929,,,,,,,,,,,,,,,,,,0.418,1.473,2.134,0.085,0.476,0.201,,,,,,,,,,,,,,,,,1.333450067,,0.8527853388,,0.8527853388,0.689572853,,0.5712514907,,0.8527853388,,,,10.78145477,0.7548633883,4.732322124,0.3683996852,4.511282313,5.678330533,0.7548633883,5.10312424,,4.511282313,,,0.3683996852,2.460965303,3.041878097,2.573714616,0.08919500929,2.52019761,1.879311632,0.4104678682,0.5816536705,2.631410229,2.226464649,0.2937329609,0.2937329609,,,2.741643368,3.105030579,2.985533679,0.08553112462,2.917108779,1.95113608,0.4271279544,0.7784010148,2.677902624,2.473547073,0.08553112462,0.3760474303,
1,1-3 weeks,B,broiler chicken DHA,S 1%,52.79562,1425.48174,4183.788907,,122.4262591,44.07340081,737.1979885,34.50375558,475.7070437,327.8608002,17.81852175,4.98918609,11.40385392,17.10578088,15.68029914,7.1274087,10.26346853,11.40385392,2.85096348,12.82933566,16.72631907,34.11716351,6.453602013,11.69797072,57.74289117,14.18802218,19.56539831,16.49921132,11.65137599,28.92138805,64.00413013,5.772959833,9.438376156,17.72757232,0.3376360412,14.4958407,322.1297934,0,0,0,3.706252524,0,0,0,0.4133897046,3.378391724,8.396087449,0.5844475134,0.2131935824,0.06973117621,0,0,0.08861516274,0,0,0.6557216004,0.05852358048,4699.620714,6575.747267,161.0794366,641.466783,0,10.6918657,1.069111305,0,1.497860647,5.558219862,22.49410186,5.558219862,5.346800727,0.2420661005,0.5564547868,0.009929905801,2245.335774,14.2548174,11.55779298,6.41466783,0,2.85096348,2.85096348,4.27644522,0.855289044,3.709501482,17.10667124,0.07483779135,96.25509086,42.77067885,0.1283001419,74.84227378,52.79562,40.56,186.03,2.530161236,2.08290572,476.4833875,58.2345191,50.761825,18.096835,,152.736904,,0.432713945,0.9257004,3.208117859,3.730435798,0.941812623,5.560573812,,,,,,,,,,,,,,,,,,0.280789466,1.039130029,1.439669748,0.143551036,0.663616498,0.129436121,,,,,,,,,,,,,,,,,0.7205158064,,1.173982887,0.3167439446,0.8572389422,0.7205158064,,0.5426185402,,0.8572389422,,,0.3167439446,15.34533869,1.42925444,6.449134823,2.990332622,3.458802201,9.383179158,1.42925444,5.962159533,,3.458802201,,,2.548933732,2.255009178,2.241162334,1.747535489,0.4095407239,1.337994765,1.70311457,0.4036809382,0.5518946086,1.837481396,1.149273624,0.1887211412,0.1887211412,,0.4095407239,3.314611569,3.944729429,2.683797017,0.4157698909,2.268027126,2.521837778,0.7864529529,0.79277379,3.158276476,2.007494317,0.09995239414,0.2605328092,0.4157698909
2,1-3 weeks,B,broiler chicken DHA,S 1%,48.62688,1312.92576,3853.437106,,112.7594867,40.59336688,678.9888654,31.77934045,438.1452349,301.9729248,16.411572,4.59524016,10.50340608,15.75510912,14.44218336,6.5646288,9.453065472,10.50340608,2.62585152,11.81633184,15.4056096,31.42327367,5.944025861,10.77429943,53.18351484,13.06773652,18.02051525,15.19643426,10.73138382,26.63775643,58.95036662,5.31712716,8.69312236,16.32780393,0.3109763132,13.35124971,296.6944381,0,0,0,3.413606976,0,0,0,0.3807484704,3.111634051,7.733132726,0.5382995616,0.1963598258,0.06422520539,0,0,0.08161811311,0,0,0.6039458496,0.05390256095,4328.538854,6056.526531,148.3606109,590.816592,0,9.847636425,0.98469432,0,1.379589631,5.119343049,20.71796849,5.119343049,4.92461756,0.2229525711,0.5125171395,0.009145840844,2068.044153,13.1292576,10.64519011,5.90816592,0,2.62585152,2.62585152,3.93877728,0.787755456,3.416599396,15.75592917,0.0689286024,88.65479281,39.39350779,0.1181695679,68.9327309,48.62688,36.86,157.48,2.614499944,2.535839169,183.2653,92.09486166,39.739606,43.000735,,188.884638,,0.304408133,0.664874524,1.953144366,2.512589884,1.267808518,4.185774957,,,,,,,,,,,,,,,,,,0.599843982,2.81133974,2.639233452,0.141957309,1.533387419,0.411478892,,,,,,,,,,,,,,,,,1.627785354,,1.310326922,0.3732500908,0.9370768307,0.895995495,,0.7317898589,,0.9370768307,,,0.3732500908,13.93690168,1.072932771,4.508895733,1.740314262,2.768581471,8.873587777,2.367767054,5.063313899,,2.768581471,,,1.740314262,2.463858893,3.363724886,1.590422656,0.2826770766,1.30774558,1.915374372,0.5144157738,0.5484845212,2.849309113,1.168756309,0.1389892701,0.1389892701,,0.2826770766,3.279875452,4.210511891,2.195111773,0.3651496458,1.829962128,2.400602338,0.6950038916,0.8792731147,3.515507999,1.543705379,0.09995239414,0.286256749,0.3651496458
3,1-3 weeks,B,broiler chicken DHA,S 1%,49.57,1338.39,3928.17465,,114.9464608,41.38067662,692.1578777,32.39570184,446.6430767,307.8297,16.729875,4.684365,10.70712,16.06068,14.72229,6.69195,9.636408,10.70712,2.67678,12.04551,15.70440192,32.03272914,6.059310446,10.98326733,54.21501093,13.32118572,18.37002376,15.49116963,10.93951938,27.15439663,60.093711,5.420253023,8.861725765,16.64448225,0.3170077094,13.61019766,302.4488368,0,0,0,3.479814,0,0,0,0.3881331,3.1719843,7.8831171,0.5487399,0.2001682313,0.06547085544,0,0,0.0832010992,0,0,0.6156594,0.05494800297,4412.491014,6173.99307,151.23807,602.2755,0,10.03863167,1.0037925,0,1.406346819,5.218632882,21.1197942,5.218632882,5.020130686,0.2272767438,0.522457427,0.00932322474,2108.15394,13.3839,10.85165394,6.022755,0,2.67678,2.67678,4.01517,0.803034,3.482864458,16.06151596,0.070265475,90.37425555,40.15754622,0.1204614707,70.26968357,49.57,38.4,304.86,2.822866163,2.349222812,804.9461,83.33333333,46.1927855,23.631035,,173.101825,,0.601408929,0.992205004,4.138156127,9.299113593,1.997938262,3.657164109,,,,,,,,,,,,,,,,,,0.459,1.576,3.12,0.064,0.688,0.351,,,,,,,,,,,,,,,,,1.021907193,,0.7422461079,0.2096082595,0.5326378484,0.5505831657,,0.471324027,,0.5326378484,,,0.2096082595,12.99502467,1.222037012,8.379231526,3.341374421,5.037857104,7.717067828,1.222037012,5.277956841,,5.037857104,,,2.963284716,2.156147134,1.833953814,2.037501938,0.3876924245,1.649809513,1.617366039,0.2424849262,0.538781095,1.591468888,1.441055557,0.208753957,0.208753957,,0.3876924245,3.309881734,3.552900938,2.98400839,0.5129106859,2.471097704,2.411878769,0.6390705513,0.8980029645,2.913830386,2.160168642,0.1062903693,0.3109290623,0.4066203166
4,1-3 weeks,B,broiler chicken DHA,S 1%,54.47937,1470.94299,4317.217676,,126.330659,45.4789831,760.7085963,35.60414418,490.8782214,338.3168877,18.38678738,5.148300465,11.76754392,17.65131588,16.18037289,7.35471495,10.59078953,11.76754392,2.94188598,13.23848691,17.25975233,35.20522297,6.659419321,12.07104065,59.5844188,14.64050445,20.18937506,17.02540169,12.02295993,29.84374462,66.04534025,5.957070203,9.739383434,18.2929374,0.3484038793,14.95813988,332.4031085,0,0,0,3.824451774,0,0,0,0.4265734671,3.486134886,8.663854211,0.6030866259,0.2199927201,0.07195503243,0,0,0.09144126423,0,0,0.6766337754,0.06039000574,4849.500314,6785.460013,166.2165579,661.9243455,0,11.03284908,1.103207243,0,1.545630194,5.735481777,23.21148038,5.735481777,5.517320094,0.2497860363,0.5742011594,0.01024658887,2316.943686,14.7094299,11.92639238,6.619243455,0,2.94188598,2.94188598,4.41282897,0.882565794,3.827804347,17.65223463,0.07722450698,99.32484379,44.13471493,0.1323918708,77.22913236,54.47937,41.66,485.28,2.768294058,2.545558771,268.19625,81.62055336,40.3519515,30.272075,,150.700412,,0.523758068,0.984240605,3.552698676,3.864045488,0.829352024,6.509990902,,,,,,,,,,,,,,,,,,0.463,1.62,2.97,0.082,0.651,0.264,,,,,,,,,,,,,,,,,1.083958863,,0.8477452052,0.3064051967,0.5413400084,0.5495258177,,0.5344330453,,0.5413400084,,,0.3064051967,10.743538,0.8246994188,5.001887657,2.577404604,2.424483053,5.984916267,0.8246994188,4.758621735,,2.424483053,,,2.216676604,1.920464924,1.754613747,1.64197863,0.4170266501,1.22495198,1.420871202,0.2618029437,0.4995937224,1.492810803,1.037563289,0.1873886908,0.1873886908,,0.4170266501,3.08072065,2.971271322,3.155001126,0.5184017826,2.636599344,2.237336102,0.4636535822,0.8433845478,2.50761774,2.321509875,0.09361441897,0.3150894688,0.4247873636
